tool	rank	metric	sample	value
Gold standard	strain	False negatives	0	0.0
Gold standard	strain	False positives	0	0.0
Gold standard	strain	Purity (precision)	0	1.0
Gold standard	strain	Completeness (recall)	0	1.0
Gold standard	strain	F1 score	0	1.0
Gold standard	strain	Jaccard index	0	1.0
Gold standard	strain	Taxon counts	0	75.0
Gold standard	superkingdom	L1 norm error	0	0.0
Gold standard	phylum	L1 norm error	0	0.0
Gold standard	class	L1 norm error	0	0.0
Gold standard	order	L1 norm error	0	0.0
Gold standard	family	L1 norm error	0	0.0
Gold standard	genus	L1 norm error	0	0.0
Gold standard	species	L1 norm error	0	0.0
Gold standard	strain	L1 norm error	0	0.0
Gold standard	na	Weighted UniFrac error	0	0.0
Gold standard	na	Unweighted UniFrac error	0	0.0
Gold standard	superkingdom	Bray-Curtis distance	1	0.0
Gold standard	phylum	Bray-Curtis distance	1	0.0
Gold standard	class	Bray-Curtis distance	1	0.0
Gold standard	order	Bray-Curtis distance	1	0.0
Gold standard	family	Bray-Curtis distance	1	0.0
Gold standard	genus	Bray-Curtis distance	1	0.0
Gold standard	species	Bray-Curtis distance	1	0.0
Gold standard	strain	Bray-Curtis distance	1	0.0
Gold standard	superkingdom	Shannon diversity	1	0.0
Gold standard	superkingdom	Shannon equitability	1	0.0
Gold standard	phylum	Shannon diversity	1	0.6815912611401937
Gold standard	phylum	Shannon equitability	1	0.32777611078673735
Gold standard	class	Shannon diversity	1	1.0822835102175952
Gold standard	class	Shannon equitability	1	0.37444439707830685
Gold standard	order	Shannon diversity	1	1.0956662064943579
Gold standard	order	Shannon equitability	1	0.3362902829023336
Gold standard	family	Shannon diversity	1	1.5698836547892514
Gold standard	family	Shannon equitability	1	0.40129714283657125
Gold standard	genus	Shannon diversity	1	1.8939426299009197
Gold standard	genus	Shannon equitability	1	0.37457487290225844
Gold standard	species	Shannon diversity	1	2.4760700948887755
Gold standard	species	Shannon equitability	1	0.39252242460189807
Gold standard	strain	Shannon diversity	1	1.2933994751841396
Gold standard	strain	Shannon equitability	1	0.19381713231318612
Gold standard	superkingdom	True positives	1	1.0
Gold standard	superkingdom	False negatives	1	0.0
Gold standard	superkingdom	False positives	1	0.0
Gold standard	superkingdom	Purity (precision)	1	1.0
Gold standard	superkingdom	Completeness (recall)	1	1.0
Gold standard	superkingdom	F1 score	1	1.0
Gold standard	superkingdom	Jaccard index	1	1.0
Gold standard	superkingdom	Taxon counts	1	1.0
Gold standard	phylum	True positives	1	4.0
Gold standard	phylum	False negatives	1	0.0
Gold standard	phylum	False positives	1	0.0
Gold standard	phylum	Purity (precision)	1	1.0
Gold standard	phylum	Completeness (recall)	1	1.0
Gold standard	phylum	F1 score	1	1.0
Gold standard	phylum	Jaccard index	1	1.0
Gold standard	phylum	Taxon counts	1	4.0
Gold standard	class	True positives	1	6.0
Gold standard	class	False negatives	1	0.0
Gold standard	class	False positives	1	0.0
Gold standard	class	Purity (precision)	1	1.0
Gold standard	class	Completeness (recall)	1	1.0
Gold standard	class	F1 score	1	1.0
Gold standard	class	Jaccard index	1	1.0
Gold standard	class	Taxon counts	1	6.0
Gold standard	order	True positives	1	7.0
Gold standard	order	False negatives	1	0.0
Gold standard	order	False positives	1	0.0
Gold standard	order	Purity (precision)	1	1.0
Gold standard	order	Completeness (recall)	1	1.0
Gold standard	order	F1 score	1	1.0
Gold standard	order	Jaccard index	1	1.0
Gold standard	order	Taxon counts	1	7.0
Gold standard	family	True positives	1	17.0
Gold standard	family	False negatives	1	0.0
Gold standard	family	False positives	1	0.0
Gold standard	family	Purity (precision)	1	1.0
Gold standard	family	Completeness (recall)	1	1.0
Gold standard	family	F1 score	1	1.0
Gold standard	family	Jaccard index	1	1.0
Gold standard	family	Taxon counts	1	17.0
Gold standard	genus	True positives	1	32.0
Gold standard	genus	False negatives	1	0.0
Gold standard	genus	False positives	1	0.0
Gold standard	genus	Purity (precision)	1	1.0
Gold standard	genus	Completeness (recall)	1	1.0
Gold standard	genus	F1 score	1	1.0
Gold standard	genus	Jaccard index	1	1.0
Gold standard	genus	Taxon counts	1	32.0
Gold standard	species	True positives	1	82.0
Gold standard	species	False negatives	1	0.0
Gold standard	species	False positives	1	0.0
Gold standard	species	Purity (precision)	1	1.0
Gold standard	species	Completeness (recall)	1	1.0
Gold standard	species	F1 score	1	1.0
Gold standard	species	Jaccard index	1	1.0
Gold standard	species	Taxon counts	1	82.0
Gold standard	strain	True positives	1	90.0
Gold standard	strain	False negatives	1	0.0
Gold standard	strain	False positives	1	0.0
Gold standard	strain	Purity (precision)	1	1.0
Gold standard	strain	Completeness (recall)	1	1.0
Gold standard	strain	F1 score	1	1.0
Gold standard	strain	Jaccard index	1	1.0
Gold standard	strain	Taxon counts	1	90.0
Gold standard	superkingdom	L1 norm error	1	0.0
Gold standard	phylum	L1 norm error	1	0.0
Gold standard	class	L1 norm error	1	0.0
Gold standard	order	L1 norm error	1	0.0
Gold standard	family	L1 norm error	1	0.0
Gold standard	genus	L1 norm error	1	0.0
Gold standard	species	L1 norm error	1	0.0
Gold standard	strain	L1 norm error	1	0.0
Gold standard	na	Weighted UniFrac error	1	0.0
Gold standard	na	Unweighted UniFrac error	1	0.0
Gold standard	superkingdom	Bray-Curtis distance	2	0.0
Gold standard	phylum	Bray-Curtis distance	2	0.0
Gold standard	class	Bray-Curtis distance	2	0.0
Gold standard	order	Bray-Curtis distance	2	0.0
Gold standard	family	Bray-Curtis distance	2	0.0
Gold standard	genus	Bray-Curtis distance	2	0.0
Gold standard	species	Bray-Curtis distance	2	0.0
Gold standard	strain	Bray-Curtis distance	2	0.0
Gold standard	superkingdom	Shannon diversity	2	0.0
Gold standard	superkingdom	Shannon equitability	2	0.0
Gold standard	phylum	Shannon diversity	2	0.5733389753419571
Gold standard	phylum	Shannon equitability	2	0.2757177654914004
Gold standard	class	Shannon diversity	2	0.6641716984158723
Gold standard	class	Shannon equitability	2	0.22978763773256203
Gold standard	order	Shannon diversity	2	0.6899385234649166
Gold standard	order	Shannon equitability	2	0.2117612278867249
Gold standard	family	Shannon diversity	2	0.8731737599558032
Gold standard	family	Shannon equitability	2	0.22320261377405676
Gold standard	genus	Shannon diversity	2	0.9097014601460741
Gold standard	genus	Shannon equitability	2	0.17991638365045978
Gold standard	species	Shannon diversity	2	2.2885141559839677
Gold standard	species	Shannon equitability	2	0.362789860875463
Gold standard	strain	Shannon diversity	2	1.268528548417254
Gold standard	strain	Shannon equitability	2	0.19009020045924924
Gold standard	superkingdom	True positives	2	1.0
Gold standard	superkingdom	False negatives	2	0.0
Gold standard	superkingdom	False positives	2	0.0
Gold standard	superkingdom	Purity (precision)	2	1.0
Gold standard	superkingdom	Completeness (recall)	2	1.0
Gold standard	superkingdom	F1 score	2	1.0
Gold standard	superkingdom	Jaccard index	2	1.0
Gold standard	superkingdom	Taxon counts	2	1.0
Gold standard	phylum	True positives	2	7.0
Gold standard	phylum	False negatives	2	0.0
Gold standard	phylum	False positives	2	0.0
Gold standard	phylum	Purity (precision)	2	1.0
Gold standard	phylum	Completeness (recall)	2	1.0
Gold standard	phylum	F1 score	2	1.0
Gold standard	phylum	Jaccard index	2	1.0
Gold standard	phylum	Taxon counts	2	7.0
Gold standard	class	True positives	2	12.0
Gold standard	class	False negatives	2	0.0
Gold standard	class	False positives	2	0.0
Gold standard	class	Purity (precision)	2	1.0
Gold standard	class	Completeness (recall)	2	1.0
Gold standard	class	F1 score	2	1.0
Gold standard	class	Jaccard index	2	1.0
Gold standard	class	Taxon counts	2	12.0
Gold standard	order	True positives	2	14.0
Gold standard	order	False negatives	2	0.0
Gold standard	order	False positives	2	0.0
Gold standard	order	Purity (precision)	2	1.0
Gold standard	order	Completeness (recall)	2	1.0
Gold standard	order	F1 score	2	1.0
Gold standard	order	Jaccard index	2	1.0
Gold standard	order	Taxon counts	2	14.0
Gold standard	family	True positives	2	22.0
Gold standard	family	False negatives	2	0.0
Gold standard	family	False positives	2	0.0
Gold standard	family	Purity (precision)	2	1.0
Gold standard	family	Completeness (recall)	2	1.0
Gold standard	family	F1 score	2	1.0
Gold standard	family	Jaccard index	2	1.0
Gold standard	family	Taxon counts	2	22.0
Gold standard	genus	True positives	2	37.0
Gold standard	genus	False negatives	2	0.0
Gold standard	genus	False positives	2	0.0
Gold standard	genus	Purity (precision)	2	1.0
Gold standard	genus	Completeness (recall)	2	1.0
Gold standard	genus	F1 score	2	1.0
Gold standard	genus	Jaccard index	2	1.0
Gold standard	genus	Taxon counts	2	37.0
Gold standard	species	True positives	2	75.0
Gold standard	species	False negatives	2	0.0
Gold standard	species	False positives	2	0.0
Gold standard	species	Purity (precision)	2	1.0
Gold standard	species	Completeness (recall)	2	1.0
Gold standard	species	F1 score	2	1.0
Gold standard	species	Jaccard index	2	1.0
Gold standard	species	Taxon counts	2	75.0
Gold standard	strain	True positives	2	87.0
Gold standard	strain	False negatives	2	0.0
Gold standard	strain	False positives	2	0.0
Gold standard	strain	Purity (precision)	2	1.0
Gold standard	strain	Completeness (recall)	2	1.0
Gold standard	strain	F1 score	2	1.0
Gold standard	strain	Jaccard index	2	1.0
Gold standard	strain	Taxon counts	2	87.0
Gold standard	superkingdom	L1 norm error	2	0.0
Gold standard	phylum	L1 norm error	2	0.0
Gold standard	class	L1 norm error	2	0.0
Gold standard	order	L1 norm error	2	0.0
Gold standard	family	L1 norm error	2	0.0
Gold standard	genus	L1 norm error	2	0.0
Gold standard	species	L1 norm error	2	0.0
Gold standard	strain	L1 norm error	2	0.0
Gold standard	na	Weighted UniFrac error	2	0.0
Gold standard	na	Unweighted UniFrac error	2	0.0
Gold standard	superkingdom	Bray-Curtis distance	3	0.0
Gold standard	phylum	Bray-Curtis distance	3	0.0
Gold standard	class	Bray-Curtis distance	3	0.0
Gold standard	order	Bray-Curtis distance	3	0.0
Gold standard	family	Bray-Curtis distance	3	0.0
Gold standard	genus	Bray-Curtis distance	3	0.0
Gold standard	species	Bray-Curtis distance	3	0.0
Gold standard	strain	Bray-Curtis distance	3	0.0
Gold standard	superkingdom	Shannon diversity	3	0.0
Gold standard	superkingdom	Shannon equitability	3	0.0
Gold standard	phylum	Shannon diversity	3	0.8421941600399127
Gold standard	phylum	Shannon equitability	3	0.40500977938507604
Gold standard	class	Shannon diversity	3	0.9904135325665027
Gold standard	class	Shannon equitability	3	0.3426595661477823
Gold standard	order	Shannon diversity	3	1.006917878213046
Gold standard	order	Shannon equitability	3	0.30905096471589166
Gold standard	family	Shannon diversity	3	1.3823243902278353
Gold standard	family	Shannon equitability	3	0.35335282750377095
Gold standard	genus	Shannon diversity	3	1.9583915090425197
Gold standard	genus	Shannon equitability	3	0.3873212625404814
Gold standard	species	Shannon diversity	3	2.5727641118907414
Gold standard	species	Shannon equitability	3	0.407850976922148
Gold standard	strain	Shannon diversity	3	1.8410139946557464
Gold standard	strain	Shannon equitability	3	0.2758776849989213
Gold standard	superkingdom	True positives	3	1.0
Gold standard	superkingdom	False negatives	3	0.0
Gold standard	superkingdom	False positives	3	0.0
Gold standard	superkingdom	Purity (precision)	3	1.0
Gold standard	superkingdom	Completeness (recall)	3	1.0
Gold standard	superkingdom	F1 score	3	1.0
Gold standard	superkingdom	Jaccard index	3	1.0
Gold standard	superkingdom	Taxon counts	3	1.0
Gold standard	phylum	True positives	3	5.0
Gold standard	phylum	False negatives	3	0.0
Gold standard	phylum	False positives	3	0.0
Gold standard	phylum	Purity (precision)	3	1.0
Gold standard	phylum	Completeness (recall)	3	1.0
Gold standard	phylum	F1 score	3	1.0
Gold standard	phylum	Jaccard index	3	1.0
Gold standard	phylum	Taxon counts	3	5.0
Gold standard	class	True positives	3	8.0
Gold standard	class	False negatives	3	0.0
Gold standard	class	False positives	3	0.0
Gold standard	class	Purity (precision)	3	1.0
Gold standard	class	Completeness (recall)	3	1.0
Gold standard	class	F1 score	3	1.0
Gold standard	class	Jaccard index	3	1.0
Gold standard	class	Taxon counts	3	8.0
Gold standard	order	True positives	3	10.0
Gold standard	order	False negatives	3	0.0
Gold standard	order	False positives	3	0.0
Gold standard	order	Purity (precision)	3	1.0
Gold standard	order	Completeness (recall)	3	1.0
Gold standard	order	F1 score	3	1.0
Gold standard	order	Jaccard index	3	1.0
Gold standard	order	Taxon counts	3	10.0
Gold standard	family	True positives	3	20.0
Gold standard	family	False negatives	3	0.0
Gold standard	family	False positives	3	0.0
Gold standard	family	Purity (precision)	3	1.0
Gold standard	family	Completeness (recall)	3	1.0
Gold standard	family	F1 score	3	1.0
Gold standard	family	Jaccard index	3	1.0
Gold standard	family	Taxon counts	3	20.0
Gold standard	genus	True positives	3	42.0
Gold standard	genus	False negatives	3	0.0
Gold standard	genus	False positives	3	0.0
Gold standard	genus	Purity (precision)	3	1.0
Gold standard	genus	Completeness (recall)	3	1.0
Gold standard	genus	F1 score	3	1.0
Gold standard	genus	Jaccard index	3	1.0
Gold standard	genus	Taxon counts	3	42.0
Gold standard	species	True positives	3	122.0
Gold standard	species	False negatives	3	0.0
Gold standard	species	False positives	3	0.0
Gold standard	species	Purity (precision)	3	1.0
Gold standard	species	Completeness (recall)	3	1.0
Gold standard	species	F1 score	3	1.0
Gold standard	species	Jaccard index	3	1.0
Gold standard	species	Taxon counts	3	122.0
Gold standard	strain	True positives	3	148.0
Gold standard	strain	False negatives	3	0.0
Gold standard	strain	False positives	3	0.0
Gold standard	strain	Purity (precision)	3	1.0
Gold standard	strain	Completeness (recall)	3	1.0
Gold standard	strain	F1 score	3	1.0
Gold standard	strain	Jaccard index	3	1.0
Gold standard	strain	Taxon counts	3	148.0
Gold standard	superkingdom	L1 norm error	3	0.0
Gold standard	phylum	L1 norm error	3	0.0
Gold standard	class	L1 norm error	3	0.0
Gold standard	order	L1 norm error	3	0.0
Gold standard	family	L1 norm error	3	0.0
Gold standard	genus	L1 norm error	3	0.0
Gold standard	species	L1 norm error	3	0.0
Gold standard	strain	L1 norm error	3	0.0
Gold standard	na	Weighted UniFrac error	3	0.0
Gold standard	na	Unweighted UniFrac error	3	0.0
Gold standard	superkingdom	Bray-Curtis distance	4	0.0
Gold standard	phylum	Bray-Curtis distance	4	0.0
Gold standard	class	Bray-Curtis distance	4	0.0
Gold standard	order	Bray-Curtis distance	4	0.0
Gold standard	family	Bray-Curtis distance	4	0.0
Gold standard	genus	Bray-Curtis distance	4	0.0
Gold standard	species	Bray-Curtis distance	4	0.0
Gold standard	strain	Bray-Curtis distance	4	0.0
Gold standard	superkingdom	Shannon diversity	4	0.0
Gold standard	superkingdom	Shannon equitability	4	0.0
Gold standard	phylum	Shannon diversity	4	0.7886910304409581
Gold standard	phylum	Shannon equitability	4	0.3792802128035923
Gold standard	class	Shannon diversity	4	1.2786885967629422
Gold standard	class	Shannon equitability	4	0.4423958936319217
Gold standard	order	Shannon diversity	4	1.288609143109333
Gold standard	order	Shannon equitability	4	0.39550981012117464
Gold standard	family	Shannon diversity	4	1.698316517572532
Gold standard	family	Shannon equitability	4	0.43412743616692057
Gold standard	genus	Shannon diversity	4	1.8338961135217182
Gold standard	genus	Shannon equitability	4	0.3626991614177245
Gold standard	species	Shannon diversity	4	3.091762188920285
Gold standard	species	Shannon equitability	4	0.4901258624271604
Gold standard	strain	Shannon diversity	4	2.3677844694461836
Gold standard	strain	Shannon equitability	4	0.3548147379126026
Gold standard	superkingdom	True positives	4	1.0
Gold standard	superkingdom	False negatives	4	0.0
Gold standard	superkingdom	False positives	4	0.0
Gold standard	superkingdom	Purity (precision)	4	1.0
Gold standard	superkingdom	Completeness (recall)	4	1.0
Gold standard	superkingdom	F1 score	4	1.0
Gold standard	superkingdom	Jaccard index	4	1.0
Gold standard	superkingdom	Taxon counts	4	1.0
Gold standard	phylum	True positives	4	4.0
Gold standard	phylum	False negatives	4	0.0
Gold standard	phylum	False positives	4	0.0
Gold standard	phylum	Purity (precision)	4	1.0
Gold standard	phylum	Completeness (recall)	4	1.0
Gold standard	phylum	F1 score	4	1.0
Gold standard	phylum	Jaccard index	4	1.0
Gold standard	phylum	Taxon counts	4	4.0
Gold standard	class	True positives	4	10.0
Gold standard	class	False negatives	4	0.0
Gold standard	class	False positives	4	0.0
Gold standard	class	Purity (precision)	4	1.0
Gold standard	class	Completeness (recall)	4	1.0
Gold standard	class	F1 score	4	1.0
Gold standard	class	Jaccard index	4	1.0
Gold standard	class	Taxon counts	4	10.0
Gold standard	order	True positives	4	11.0
Gold standard	order	False negatives	4	0.0
Gold standard	order	False positives	4	0.0
Gold standard	order	Purity (precision)	4	1.0
Gold standard	order	Completeness (recall)	4	1.0
Gold standard	order	F1 score	4	1.0
Gold standard	order	Jaccard index	4	1.0
Gold standard	order	Taxon counts	4	11.0
Gold standard	family	True positives	4	19.0
Gold standard	family	False negatives	4	0.0
Gold standard	family	False positives	4	0.0
Gold standard	family	Purity (precision)	4	1.0
Gold standard	family	Completeness (recall)	4	1.0
Gold standard	family	F1 score	4	1.0
Gold standard	family	Jaccard index	4	1.0
Gold standard	family	Taxon counts	4	19.0
Gold standard	genus	True positives	4	28.0
Gold standard	genus	False negatives	4	0.0
Gold standard	genus	False positives	4	0.0
Gold standard	genus	Purity (precision)	4	1.0
Gold standard	genus	Completeness (recall)	4	1.0
Gold standard	genus	F1 score	4	1.0
Gold standard	genus	Jaccard index	4	1.0
Gold standard	genus	Taxon counts	4	28.0
Gold standard	species	True positives	4	62.0
Gold standard	species	False negatives	4	0.0
Gold standard	species	False positives	4	0.0
Gold standard	species	Purity (precision)	4	1.0
Gold standard	species	Completeness (recall)	4	1.0
Gold standard	species	F1 score	4	1.0
Gold standard	species	Jaccard index	4	1.0
Gold standard	species	Taxon counts	4	62.0
Gold standard	strain	True positives	4	71.0
Gold standard	strain	False negatives	4	0.0
Gold standard	strain	False positives	4	0.0
Gold standard	strain	Purity (precision)	4	1.0
Gold standard	strain	Completeness (recall)	4	1.0
Gold standard	strain	F1 score	4	1.0
Gold standard	strain	Jaccard index	4	1.0
Gold standard	strain	Taxon counts	4	71.0
Gold standard	superkingdom	L1 norm error	4	0.0
Gold standard	phylum	L1 norm error	4	0.0
Gold standard	class	L1 norm error	4	0.0
Gold standard	order	L1 norm error	4	0.0
Gold standard	family	L1 norm error	4	0.0
Gold standard	genus	L1 norm error	4	0.0
Gold standard	species	L1 norm error	4	0.0
Gold standard	strain	L1 norm error	4	0.0
Gold standard	na	Weighted UniFrac error	4	0.0
Gold standard	na	Unweighted UniFrac error	4	0.0
Gold standard	superkingdom	Bray-Curtis distance	5	0.0
Gold standard	phylum	Bray-Curtis distance	5	0.0
Gold standard	class	Bray-Curtis distance	5	0.0
Gold standard	order	Bray-Curtis distance	5	0.0
Gold standard	family	Bray-Curtis distance	5	0.0
Gold standard	genus	Bray-Curtis distance	5	0.0
Gold standard	species	Bray-Curtis distance	5	0.0
Gold standard	strain	Bray-Curtis distance	5	0.0
Gold standard	superkingdom	Shannon diversity	5	0.0
Gold standard	superkingdom	Shannon equitability	5	0.0
Gold standard	phylum	Shannon diversity	5	0.8909387261707972
Gold standard	phylum	Shannon equitability	5	0.4284509606608464
Gold standard	class	Shannon diversity	5	1.1481369453127508
Gold standard	class	Shannon equitability	5	0.3972281220144683
Gold standard	order	Shannon diversity	5	1.1517644378408767
Gold standard	order	Shannon equitability	5	0.35350838270136076
Gold standard	family	Shannon diversity	5	1.9093197434898517
Gold standard	family	Shannon equitability	5	0.48806454891511786
Gold standard	genus	Shannon diversity	5	2.0851252657461283
Gold standard	genus	Shannon equitability	5	0.412386055982595
Gold standard	species	Shannon diversity	5	2.7155301671832732
Gold standard	species	Shannon equitability	5	0.4304831626142863
Gold standard	strain	Shannon diversity	5	2.1204656014729952
Gold standard	strain	Shannon equitability	5	0.3177537720801536
Gold standard	superkingdom	True positives	5	1.0
Gold standard	superkingdom	False negatives	5	0.0
Gold standard	superkingdom	False positives	5	0.0
Gold standard	superkingdom	Purity (precision)	5	1.0
Gold standard	superkingdom	Completeness (recall)	5	1.0
Gold standard	superkingdom	F1 score	5	1.0
Gold standard	superkingdom	Jaccard index	5	1.0
Gold standard	superkingdom	Taxon counts	5	1.0
Gold standard	phylum	True positives	5	5.0
Gold standard	phylum	False negatives	5	0.0
Gold standard	phylum	False positives	5	0.0
Gold standard	phylum	Purity (precision)	5	1.0
Gold standard	phylum	Completeness (recall)	5	1.0
Gold standard	phylum	F1 score	5	1.0
Gold standard	phylum	Jaccard index	5	1.0
Gold standard	phylum	Taxon counts	5	5.0
Gold standard	class	True positives	5	13.0
Gold standard	class	False negatives	5	0.0
Gold standard	class	False positives	5	0.0
Gold standard	class	Purity (precision)	5	1.0
Gold standard	class	Completeness (recall)	5	1.0
Gold standard	class	F1 score	5	1.0
Gold standard	class	Jaccard index	5	1.0
Gold standard	class	Taxon counts	5	13.0
Gold standard	order	True positives	5	15.0
Gold standard	order	False negatives	5	0.0
Gold standard	order	False positives	5	0.0
Gold standard	order	Purity (precision)	5	1.0
Gold standard	order	Completeness (recall)	5	1.0
Gold standard	order	F1 score	5	1.0
Gold standard	order	Jaccard index	5	1.0
Gold standard	order	Taxon counts	5	15.0
Gold standard	family	True positives	5	29.0
Gold standard	family	False negatives	5	0.0
Gold standard	family	False positives	5	0.0
Gold standard	family	Purity (precision)	5	1.0
Gold standard	family	Completeness (recall)	5	1.0
Gold standard	family	F1 score	5	1.0
Gold standard	family	Jaccard index	5	1.0
Gold standard	family	Taxon counts	5	29.0
Gold standard	genus	True positives	5	71.0
Gold standard	genus	False negatives	5	0.0
Gold standard	genus	False positives	5	0.0
Gold standard	genus	Purity (precision)	5	1.0
Gold standard	genus	Completeness (recall)	5	1.0
Gold standard	genus	F1 score	5	1.0
Gold standard	genus	Jaccard index	5	1.0
Gold standard	genus	Taxon counts	5	71.0
Gold standard	species	True positives	5	206.0
Gold standard	species	False negatives	5	0.0
Gold standard	species	False positives	5	0.0
Gold standard	species	Purity (precision)	5	1.0
Gold standard	species	Completeness (recall)	5	1.0
Gold standard	species	F1 score	5	1.0
Gold standard	species	Jaccard index	5	1.0
Gold standard	species	Taxon counts	5	206.0
Gold standard	strain	True positives	5	254.0
Gold standard	strain	False negatives	5	0.0
Gold standard	strain	False positives	5	0.0
Gold standard	strain	Purity (precision)	5	1.0
Gold standard	strain	Completeness (recall)	5	1.0
Gold standard	strain	F1 score	5	1.0
Gold standard	strain	Jaccard index	5	1.0
Gold standard	strain	Taxon counts	5	254.0
Gold standard	superkingdom	L1 norm error	5	0.0
Gold standard	phylum	L1 norm error	5	0.0
Gold standard	class	L1 norm error	5	0.0
Gold standard	order	L1 norm error	5	0.0
Gold standard	family	L1 norm error	5	0.0
Gold standard	genus	L1 norm error	5	0.0
Gold standard	species	L1 norm error	5	0.0
Gold standard	strain	L1 norm error	5	0.0
Gold standard	na	Weighted UniFrac error	5	0.0
Gold standard	na	Unweighted UniFrac error	5	0.0
Gold standard	superkingdom	Bray-Curtis distance	6	0.0
Gold standard	phylum	Bray-Curtis distance	6	0.0
Gold standard	class	Bray-Curtis distance	6	0.0
Gold standard	order	Bray-Curtis distance	6	0.0
Gold standard	family	Bray-Curtis distance	6	0.0
Gold standard	genus	Bray-Curtis distance	6	0.0
Gold standard	species	Bray-Curtis distance	6	0.0
Gold standard	strain	Bray-Curtis distance	6	0.0
Gold standard	superkingdom	Shannon diversity	6	0.0
Gold standard	superkingdom	Shannon equitability	6	0.0
Gold standard	phylum	Shannon diversity	6	0.8748424752256732
Gold standard	phylum	Shannon equitability	6	0.4207103001890349
Gold standard	class	Shannon diversity	6	1.1029188861599408
Gold standard	class	Shannon equitability	6	0.3815837471933819
Gold standard	order	Shannon diversity	6	1.1075358102988098
Gold standard	order	Shannon equitability	6	0.3399333928181803
Gold standard	family	Shannon diversity	6	1.9171604171485628
Gold standard	family	Shannon equitability	6	0.49006879931135316
Gold standard	genus	Shannon diversity	6	2.0251573071054927
Gold standard	genus	Shannon equitability	6	0.4005258812701228
Gold standard	species	Shannon diversity	6	2.8968546457876054
Gold standard	species	Shannon equitability	6	0.4592278755076604
Gold standard	strain	Shannon diversity	6	2.2648294805073417
